Code,Drug Name,Pack Size,Strength Measure,Name,Reimbursement Price,Non Proprietary Name,Ref Price,Dental,Reference Priced,INN
86316,"OneTouch Delica Plus Lancets, 30 G. 0.32 mm. 200 (A)",200,,ONETOUCH DELICA PLUS 30 G. 0.32 MM,8.23,,0.0,N,N,LANCETS
93870,Clinisupplies Ltd. Prosys Sterile 750 ML Leg Bag with Short Tubing and Slide Tap P750S 10 (A),10,,CLINISUPPLIES LTD PROSYS P750S STERILE 750 ML LEG BAG WITH SHORT TUBING AND SLIDE TAP,14.75,,0.0,N,N,
93872,Clinisupplies Ltd. Prosys Sterile 750 ml Leg Bag with Long Tubing and Slide Tap P750L 10 (A),10,,CLINISUPPLIES LTD PROSYS P750L STERILE 750 ML LEG BAG WITH LONG TUBING AND SLIDE TAP,14.75,,0.0,N,N,
93313,CliniMed Hyperseal Washer with Manuka Honey MHWA 300 20 (A),20,,CLINIMED WELLAND MHWA300 HYPERSEAL C MANUKA HONEY SKIN PROTECTOR,29.7,,0.0,N,N,
93314,CliniMed Hyperseal Washer with Manuka Honey MHWA 400 20 (A),20,,CLINIMED WELLAND MHWA400 HYPERSEAL C MANUKA HONEY SKIN PROTECTOR,37.16,,0.0,N,N,
93647,Salts Confidence Sensitive Colostomy Pouch CFNLT13/CFNL13/CFNT13/CFN28/CFNM13  30 (A),30,,SALTS CFNLT13/CFNL13/CFNT13/CFN28/CFNM13 CONFIDENCE SENSITIVE COLOSTOMY,118.61,,0.0,N,N,
93649,Coloplast SenSura Flex Baseplates Flat 2 Piece Ostomy System 10108 5 (A),5,,COLOPLAST 10108 SENSURA FLEX BASEPLATES FLAT 2 PIECE OSTOMY SYSTEM,22.53,,0.0,N,N,
54386,Velphoro Chewable Tabs. 500 mg. 90 (A),90,500MG,VELPHORO CHEWABLE,176.19,,0.0,N,N,SUCROFERRIC OXYHYDROXIDE
93652,Coloplast Simpla Catheter Retaining G Strap 383001 5 (A),5,,COLOPLAST 383001 SIMPLA CATHETER RETAINING G STRAP,16.79,,0.0,N,N,
93667,Coloplast Conveen Sheath Liner Incontinence Sheaths 5100 20 (A),20,,COLOPLAST 5100 CONVEEN SHEATH LINER INCONTINENCE SHEATHS,11.54,,0.0,N,N,
