value,code,label
REF_CLASS_ATC:A07AA04,A07AA04,A07AA04 - streptomycin
REF_CLASS_ATC:A07AA09,A07AA09,A07AA09 - vancomycin
REF_CLASS_ATC:A07AA11,A07AA11,A07AA11 - rifaximin
REF_CLASS_ATC:A07AA12,A07AA12,A07AA12 - fidaxomicin
REF_CLASS_ATC:A07AA51,A07AA51,"A07AA51 - neomycin, combinations"
REF_CLASS_ATC:A07AA54,A07AA54,"A07AA54 - streptomycin, combinations"
REF_CLASS_ATC:A07AB02,A07AB02,A07AB02 - phthalylsulfathiazole
REF_CLASS_ATC:A07AB03,A07AB03,A07AB03 - sulfaguanidine
REF_CLASS_ATC:A07AX03,A07AX03,A07AX03 - nifuroxazide
REF_CLASS_ATC:A07AX04,A07AX04,A07AX04 - nifurzide
REF_CLASS_ATC:A07BA01,A07BA01,A07BA01 - medicinal charcoal
REF_CLASS_ATC:A07BC01,A07BC01,A07BC01 - pectin
REF_CLASS_ATC:A07DA01,A07DA01,A07DA01 - diphenoxylate
REF_CLASS_ATC:A07DA02,A07DA02,A07DA02 - opium
REF_CLASS_ATC:A07DA03,A07DA03,A07DA03 - loperamide
REF_CLASS_ATC:A07DA05,A07DA05,A07DA05 - loperamide oxide
REF_CLASS_ATC:A07DA06,A07DA06,A07DA06 - eluxadoline
REF_CLASS_ATC:A07DA53,A07DA53,"A07DA53 - loperamide, combinations"
REF_CLASS_ATC:A07EA01,A07EA01,A07EA01 - prednisolone
REF_CLASS_ATC:A07EA02,A07EA02,A07EA02 - hydrocortisone
REF_CLASS_ATC:A07EA05,A07EA05,A07EA05 - tixocortol
REF_CLASS_ATC:A07EA06,A07EA06,A07EA06 - budesonide
REF_CLASS_ATC:A07EB01,A07EB01,A07EB01 - cromoglicic acid
REF_CLASS_ATC:A07EC01,A07EC01,A07EC01 - sulfasalazine
REF_CLASS_ATC:A07EC02,A07EC02,A07EC02 - mesalazine
REF_CLASS_ATC:A07EC03,A07EC03,A07EC03 - olsalazine
REF_CLASS_ATC:A07FA01,A07FA01,A07FA01 - lactic acid producing organisms
REF_CLASS_ATC:A07FA02,A07FA02,A07FA02 - saccharomyces boulardii
REF_CLASS_ATC:A07XA01,A07XA01,A07XA01 - albumin tannate
REF_CLASS_ATC:A07XA04,A07XA04,A07XA04 - racecadotril
REF_CLASS_ATC:A08AA10,A08AA10,A08AA10 - sibutramine
REF_CLASS_ATC:A08AA51,A08AA51,A08AA51 - phentermine and topiramate
REF_CLASS_ATC:A08AA62,A08AA62,A08AA62 - bupropion and naltrexone
REF_CLASS_ATC:A08AB01,A08AB01,A08AB01 - orlistat
REF_CLASS_ATC:A08AX01,A08AX01,A08AX01 - rimonabant
REF_CLASS_ATC:A09AA02,A09AA02,"A09AA02 - multienzymes (lipase, protease etc.)"
REF_CLASS_ATC:A09AA03,A09AA03,A09AA03 - pepsin
REF_CLASS_ATC:A09AA04,A09AA04,A09AA04 - tilactase
REF_CLASS_ATC:A09AB04,A09AB04,A09AB04 - citric acid
REF_CLASS_ATC:A09AC01,A09AC01,A09AC01 - pepsin and acid preparations
REF_CLASS_ATC:A10AB01,A10AB01,A10AB01 - insulin (human)
REF_CLASS_ATC:A10AB04,A10AB04,A10AB04 - insulin lispro
REF_CLASS_ATC:A10AB05,A10AB05,A10AB05 - insulin aspart
REF_CLASS_ATC:A10AB06,A10AB06,A10AB06 - insulin glulisine
REF_CLASS_ATC:A10AC01,A10AC01,A10AC01 - insulin (human)
REF_CLASS_ATC:A10AC04,A10AC04,A10AC04 - insulin lispro
REF_CLASS_ATC:A10AD01,A10AD01,A10AD01 - insulin (human)
REF_CLASS_ATC:A10AD04,A10AD04,A10AD04 - insulin lispro
REF_CLASS_ATC:A10AD05,A10AD05,A10AD05 - insulin aspart
REF_CLASS_ATC:A10AD06,A10AD06,A10AD06 - insulin degludec and insulin aspart
REF_CLASS_ATC:A10AE01,A10AE01,A10AE01 - insulin (human)
REF_CLASS_ATC:A10AE04,A10AE04,A10AE04 - insulin glargine
REF_CLASS_ATC:A10AE05,A10AE05,A10AE05 - insulin detemir
REF_CLASS_ATC:A10AE06,A10AE06,A10AE06 - insulin degludec
REF_CLASS_ATC:A10AE07,A10AE07,A10AE07 - insulin icodec
REF_CLASS_ATC:A10AE54,A10AE54,A10AE54 - insulin glargine and lixisenatide
REF_CLASS_ATC:A10AE56,A10AE56,A10AE56 - insulin degludec and liraglutide
