Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Titolare AIC;AIC;Codice Gruppo Equivalenza;X=in lista di trasparenza Aifa 15/10/2025 ;Solo in lista di Regione:;Metri cubi ossigeno 
Diclofenac/misoprostolo;DICLOFENAC+MISOPROSTOLO 75+0,2MG 30 UNITA' USO ORALE;ARTROTEC*30 cpr 75 mg + 200 mcg rilascio modificato;12,57;PFIZER ITALIA Srl;029757059;KAB;;;
Diclofenac/misoprostolo;DICLOFENAC+MISOPROSTOLO 75+0,2MG 30 UNITA' USO ORALE;MISOFENAC*30 cpr 75 mg + 200 mcg rilascio modificato;12,57;PFIZER ITALIA Srl;029316041;KAB;;;
Didrogesterone;DIDROGESTERONE 10MG 14 UNITA' USO ORALE;DUFASTON*14 cpr rivestite 10 mg;4,70;THERAMEX IRELAND LIMITED;020008052;KBA;;;
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;DEVICIUS*28 cpr rivestite 2 mg;17,00;STRAGEN NORDIC A/S;046307017;DYU;X;;
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;DIENOGEST*28 cpr 2 mg;17,00;ARISTO PHARMA GMBH;046180016;DYU;X;;
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;ENDODIEN*28 cpr rivestite 2 mg;17,15;FARMITALIA Srl;046169013;DYU;X;;
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;ENDOVELLE*1x28 cpr 2 mg confezione calendario;17,15;EXELTIS HEALTHCARE S.L.;046899011;DYU;X;;
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;VIDAGEST*28 cpr 2 mg;17,15;SANDOZ SpA;048681011;DYU;X;;
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;VISANNE*28 cpr 2 mg;25,27;BAYER SpA;041407014;DYU;X;;
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;VISANNE*28 cpr 2 mg;23,50;GMM FARMA Srl;051177018;DYU;X;;
